學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
11426,私立能仁家商,68,72,63,0,0,52
11427,私立豫章工商,9,13,20,0,1,13
11431,私立莊敬工家,96,61,64,0,45,47
11432,私立中華商海,8,5,6,0,0,5
13402,市立瑞芳高工,10,13,8,0,6,14
13430,市立三重商工,17,14,16,0,0,17
13433,市立新北高工,19,17,25,0,0,18
13434,市立淡水商工,15,15,11,0,0,16
14439,市立鶯歌工商,26,27,22,0,0,17
14468,市立樟樹國際實中,2,5,0,0,0,0
20403,國立宜蘭高商,16,13,11,0,0,12
20404,國立羅東高商,41,37,32,0,0,29
20405,國立蘇澳海事,19,5,6,0,0,5
20407,國立羅東高工,30,22,24,0,2,15
20409,國立頭城家商,13,12,10,0,0,9
30403,國立北科大附屬桃園農工,56,37,42,0,0,37
31414,私立成功工商,61,46,38,0,0,48
31415,私立方曙商工,4,5,11,0,0,8
31421,私立永平工商,141,113,127,0,0,137
33407,市立中壢高商,17,19,18,0,0,15
33408,市立中壢家商,14,11,10,0,0,10
41401,私立內思高工,5,13,10,0,1,12
50401,國立大湖農工,20,7,11,0,0,9
50404,國立苗栗農工,18,15,12,0,1,16
50407,國立苗栗高商,16,11,6,0,0,11
51408,私立中興商工,26,24,18,0,0,9
51411,私立育民工家,14,14,12,0,0,17
51412,私立賢德工商,0,0,1,0,0,1
51413,私立龍德家商,4,4,3,0,0,3
63401,市立豐原高商,20,15,14,0,0,22
63402,市立大甲高工,9,6,7,0,0,7
63404,市立東勢高工,13,18,15,0,0,11
63407,市立沙鹿高工,15,16,15,0,0,12
63408,市立霧峰農工,8,7,10,0,0,9
70401,國立彰師附工,8,7,2,0,0,1
70402,國立永靖高工,1,2,6,0,0,3
70403,國立二林工商,1,5,1,0,0,4
70405,國立秀水高工,10,6,8,0,0,2
70406,國立彰化高商,5,4,8,0,0,3
70408,國立員林農工,6,4,3,0,0,10
70409,國立員林崇實高工,1,2,5,0,0,3
70410,國立員林家商,2,3,5,0,0,2
70415,國立北斗家商,6,6,7,0,0,3
71413,私立大慶商工,9,10,9,0,0,2
71414,私立達德商工,17,9,11,0,0,12
